feature,model,iv
cardinal_log,C2+,0.6033
prior_loan_count,C2+,0.407
is_first_loan,C2+,0.3429
credit_limit,C2+,0.303
days_since_last_loan,C2+,0.2371
principal_log,C2+,0.2258
is_full_utilisation,C2+,0.2185
age,C2+,0.1347
tenure,C2+,0.1177
total_monthly_obligations,C2+,0.1
is_medium_tenure,C2+,0.0957
total_bureau_accounts,C2+,0.0779
bureau_dsti,C2+,0.077
distinct_lender_count,C2+,0.0767
bureau_health_score,C2+,0.0507
arrears_ratio,C2+,0.0495
total_outstanding_debt,C2+,0.0445
state_risk_tier_enc,C2+,0.0352
bureau_annual_dti,C2+,0.0332
distinct_enquiring_lenders,C2+,0.0309
total_enquiry_count,C2+,0.0309
prop_bad,C2+,0.027
burden_score,C2+,0.0259
salary_log,C2+,0.0234
is_thin_file,C2+,0.0208
product_type,C2+,0.1138
channel_group,C2+,0.0332
